nombre git	fm_title	fm_lang	fm_slug	fm_fecha	fm_aspectos	body_created	body_autor	body_solucionas	body_dificultad	body_cuesta	body_ayudantes	body_tardas	body_extras
solv-community-meeting-space	Pide un Salón Comunal, o cualquier espacio comunitario	es	pide-un-salon-comunal-o-cualquier-espacio-comunitario-solutions-db	2024-10-25	personas, espacio	25 de octubre de 2024 13:36	Manuela	Espacio	Fácil	Gratis	2-3 personas	Días	2025-prueba=No
solv-create-poweful-message	Crea un mensaje potente	es	crea-un-mensaje-potente-solutions-db	2024-10-25	personas	25 de octubre de 2024 13:36	Manuela	Personas	Fácil	>$ 100 COP	Una persona	Horas	2025-prueba=Yes
solv-discover-audience	Descubre a tu audiencia	es	descubre-a-tu-audiencia-solutions-db	2024-10-25	señal, electricidad, personas	25 de octubre de 2024 13:36	Manuela	Personas	Tranqui	Gratis	Nadie	Horas	2025-prueba=No; impacto/sostenibilidad=0: Se mantiene solo; pilar/electricidad=No consigues electricidad; pilar/personas=3: Aporta a que haya una comunidad organizada con varios líderes; pilar/senal=1: Aporta solución de contenidos más no conectividad; recursos/dinero=0: Sin dinero; recursos/personas=1: Una persona; recursos/tiempo=1: Horas
solv-donated-equipment	¿Cómo conseguir equipos donados?	es	como-conseguir-equipos-donados-solutions-db	2024-10-25	dispositivos	25 de octubre de 2024 13:36	Sanjay	Dispositivos	Promedio	Gratis	Nadie	Horas	2025-prueba=No
solv-express-invite	¡Aprende a diseñar tu invitación exprés sin ser un experto!	es	aprende-a-disenar-tu-invitacion-expres-sin-ser-un-experto-solutions-db	2024-10-25	general	25 de octubre de 2024 13:36	Manuela	Personas	Fácil	Gratis	Una persona	Horas	2025-prueba=No; impacto/personas=100
solv-financial-support-connect	¿Tu comunidad necesita apoyo económico para conectarse a Internet?	es	tu-comunidad-necesita-apoyo-economico-para-conectarse-a-internet-solutions-db	2025-10-11	señal, dispositivos, personas	10 de julio de 2025 16:51	Nicolás	Dispositivos, Personas, Señal	Tranqui	$100-200 COP	2-3 personas	Días	2025-prueba=No
solv-find-wifi-app	Buscar señales de WiFi a tu alrededor con una aplicación móvil	es	buscar-senales-de-wifi-a-tu-alrededor-con-una-aplicacion-movil-solutions-db	2025-02-24	señal, electricidad, dispositivos, espacio	24 de febrero de 2025 5:18	Belén	Señal	Promedio	Gratis	Nadie	Minutos	2025-prueba=No; impacto/personas=1; impacto/sostenibilidad=0: Se mantiene solo; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=2: Aporta señal intermitente (Antena casera); recursos/dinero=0: Sin dinero; recursos/personas=0: Nadie; recursos/tiempo=0: Minutos
solv-fish-game	¿Cómo usar el juego para aprender a cuidar equipos en comunidad?	es	como-usar-el-juego-para-aprender-a-cuidar-equipos-en-comunidad-solutions-db	2025-10-25	dispositivos, personas	25 de octubre de 2024 13:36	Mateo	Dispositivos, Personas	Tranqui	Gratis	Más de 3 personas	Horas	2025-prueba=No
solv-funding-community-internet	Haz una colecta para pagar internet comunitario	es	haz-una-colecta-para-pagar-internet-comunitario-solutions-db	2024-10-24	señal, electricidad, dispositivos, espacio	24 de febrero de 2025 7:21	Sanjay	Personas, Señal	Difícil	Gasto mensual	Más de 3 personas	Minutos	2025-prueba=No; impacto/personas=1; impacto/sostenibilidad=0: Se mantiene solo, 2: Medio; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dinero=4: Gasto mensual; recursos/personas=3: Más de 3 personas; recursos/tiempo=3: Semanas
solv-improve-signal-can	¿Cómo mejorar mi señal con una lata?	es	como-mejorar-mi-senal-con-una-lata-solutions-db	2024-10-25	señal, dispositivos	25 de octubre de 2024 13:36	Mateo	Dispositivos, Señal	Promedio	Gratis	Nadie	Horas	2025-prueba=No
solv-improve-signal-router	¿Cómo mejorar la señal de tu router?	es	como-mejorar-la-senal-de-tu-router-solutions-db	2024-09-26	señal, electricidad, dispositivos, espacio	26 de septiembre de 2024 15:08	Manuela	Señal	Promedio	Gratis	2-3 personas	Horas	2025-prueba=No; impacto/personas=30; impacto/sostenibilidad=0: Se mantiene solo; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dinero=0: Sin dinero; recursos/personas=2: Entre 2 y 3 personas; recursos/tiempo=1: Horas
solv-install-3G-antenna	¿Cómo instalar mi antena 3/4G?	es	como-instalar-mi-antena-3-4g-solutions-db	2024-10-25	señal, espacio	25 de octubre de 2024 13:36	Sanjay	Señal	Promedio	Gasto mensual	2-3 personas	Horas	2025-prueba=No; impacto/personas=20; impacto/sostenibilidad=2: Medio; pilar/espacio=0: No aporta a tener un espacio público; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dificultad=2: Necesita estar inmerso en un lenguaje nuevo y seguir pocas instrucciones sencillas (Instalar una app y aprender a usarla); recursos/dinero=4: Gasto mensual
solv-internet-quality-diagnosis	¿Cómo saber qué tan buena es tu conexión a Internet?	es	como-saber-que-tan-buena-es-tu-conexion-a-internet-solutions-db	2025-11-6	señal, electricidad, personas	6 de noviembre de 2024 17:44	Manuela	Señal	Fácil	Gratis	Una persona	Minutos	2025-prueba=No; impacto/sostenibilidad=1: Bajo; pilar/electricidad=No consigues electricidad; recursos/personas=3: Más de 3 personas; recursos/tiempo=1: Horas
solv-internet-speedtest	¿Cómo probar la velocidad de tu conexión a Internet?	es	como-probar-la-velocidad-de-tu-conexion-a-internet-solutions-db	2025-7-10	señal, dispositivos	10 de julio de 2025 16:09	Belén	Dispositivos, Señal	Fácil	Gratis	Nadie	Minutos	2025-prueba=No
solv-jangala-internet-box	'Big Box de Jangala: Gestiona un potente router de internet inalámbrico para	es	big-box-de-jangala-gestiona-un-potente-router-de-internet-inalambrico-para-comunidades-en-exclusion	2024-10-25	señal, dispositivos, personas, espacio	25 de octubre de 2024 13:36	Sanjay	Devices, Dispositivos, Señal, Signal	Promedio	Gratis	Más de 3 personas	Horas	2025-prueba=No; impacto/personas=20; impacto/sostenibilidad=2: Medio; pilar/dispositivos=0: No aporta a equipos; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dificultad=2: Necesita estar inmerso en un lenguaje nuevo y seguir pocas instrucciones sencillas (Instalar una app y aprender a usarla); recursos/dinero=0: Sin dinero; recursos/personas=3: Más de 3 personas
solv-know-wifi-passwords	¿Cómo saber las contraseñas WiFi de mi celular?	es	como-saber-las-contrasenas-wifi-de-mi-celular-solutions-db	2025-2-24	señal, electricidad, dispositivos, espacio	24 de febrero de 2025 5:11	Belén	Señal	Difícil	Gratis	Nadie	Minutos	2025-prueba=No; impacto/personas=10; impacto/sostenibilidad=0: Se mantiene solo; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=2: Aporta señal intermitente (Antena casera); recursos/dinero=0: Sin dinero; recursos/personas=0: Nadie; recursos/tiempo=0: Minutos
solv-need-3Gantenna	¿Necesito comprar una antena 3G/4G? Cómo tomar la decisión	es	necesito-comprar-una-antena-3g-4g-como-tomar-la-decision-solutions-db	2025-07-30	señal, electricidad, dispositivos, personas, espacio	30 de julio de 2025 15:18	Sanjay	Personas, Señal	Tranqui	Gasto mensual	Nadie	Horas	2025-prueba=No; impacto/sostenibilidad=2: Medio; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=No consigues electricidad; pilar/espacio=3: Aporta a que haya un espacio permanente dedicado (SOLE Lab Aula digital); pilar/personas=3: Aporta a que haya una comunidad organizada con varios líderes; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dinero=4: Gasto mensual; recursos/personas=3: Más de 3 personas; recursos/tiempo=2: Días
solv-pocket-wikipedia	La Wikipedia de bolsillo en tu RaspberryPi	es	la-wikipedia-de-bolsillo-en-tu-raspberrypi	2025-10-11	señal, electricidad, dispositivos, espacio	30 de julio de 2025 0:14	Nicolás	Dispositivos	Fácil	Gratis	Nadie	Horas	2025-prueba=No; impacto/personas=1; impacto/sostenibilidad=0: Se mantiene solo, 2: Medio; pilar/dispositivos=1: Aporta para tener dispositivos unipersonales (Celulares); pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=0: No aporta señal; recursos/dinero=0: Sin dinero; recursos/personas=2: Entre 2 y 3 personas; recursos/tiempo=2: Días
solv-purchase-temp-satellite	Cómo comprar una conexión temporal a internet satelital	es	como-comprar-una-conexion-temporal-a-internet-satelital-solutions-db	2024-02-24	señal, electricidad, dispositivos, espacio	24 de febrero de 2025 7:17	Belén	Señal	Fácil	Gratis	Nadie	Minutos	2025-prueba=No; impacto/personas=1; impacto/sostenibilidad=0: Se mantiene solo; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=2: Aporta señal intermitente (Antena casera); recursos/dinero=0: Sin dinero; recursos/personas=0: Nadie; recursos/tiempo=0: Minutos
solv-raspberrypi-pocket-internet	Raspberry Pi: Una pequeña Internet de bolsillo	es	raspberry-pi-una-pequena-internet-de-bolsillo-solutions-db	2025-07-15	señal, dispositivos, personas	15 de julio de 2025 17:49	Gabriel	Dispositivos	Difícil	>$200 COP	2-3 personas	Horas	2025-prueba=No
solv-share-computers	¿Cómo compartir los computadores disponibles?	es	como-compartir-los-computadores-disponibles-solutions-db	2025-7-30	señal, electricidad, dispositivos, espacio	30 de julio de 2025 0:17	Sanjay	Dispositivos	Fácil	Gratis	2-3 personas	Horas	2025-prueba=No; impacto/personas=10; impacto/sostenibilidad=2: Medio; pilar/dispositivos=3: Aporta a que haya suficientes dispositivos para compartir con restricción mínima  (3 computadores min); pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=0: No aporta señal; recursos/dinero=0: Sin dinero; recursos/personas=2: Entre 2 y 3 personas; recursos/tiempo=2: Días
solv-share-internet-cellphone	¿Cómo compartir Internet desde mi celular?	es	como-compartir-internet-desde-mi-celular-solutions-db	2025-7-29	señal, dispositivos, personas	29 de julio de 2025 17:33	Belén, Nicolás	Dispositivos, Personas, Señal	Tranqui	$100-200 COP	2-3 personas	Días	2025-prueba=No
solv-share-internet-wirelessly	¿Quieres compartir tu internet sin cables? Configura tu Raspberry Pi	es	quieres-compartir-tu-internet-sin-cables-configura-tu-raspberry-pi-solutions-db	2025-10-11	señal, electricidad, dispositivos	24 de febrero de 2025 8:02	Gabriel	Señal	Promedio	>$ 100 COP	Nadie	Minutos	2025-prueba=No; impacto/personas=1; impacto/sostenibilidad=0: Se mantiene solo; pilar/electricidad=No consigues electricidad; pilar/senal=2: Aporta señal intermitente (Antena casera); recursos/dinero=0: Sin dinero; recursos/personas=2: Entre 2 y 3 personas; recursos/tiempo=0: Minutos
solv-spread-message	Difunde tu mensaje	es	difunde-tu-mensaje-solutions-db	2024-10-25	señal, electricidad, dispositivos, personas, espacio	25 de octubre de 2024 13:36	Manuela	Personas	Tranqui	>$ 100 COP	2-3 personas	Días	2025-prueba=No; impacto/sostenibilidad=0: Se mantiene solo; pilar/dispositivos=0: No aporta a equipos; pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=3: Aporta a que haya una comunidad organizada con varios líderes; pilar/senal=1: Aporta solución de contenidos más no conectividad; recursos/dinero=0: Sin dinero; recursos/personas=1: Una persona; recursos/tiempo=2: Días
solv-type-internet-signal	¿Cómo saber qué tipo de señal de Internet tienes?	es	como-saber-que-tipo-de-senal-de-internet-tienes-solutions-db	2025-11-6	señal, electricidad, dispositivos, espacio	6 de noviembre de 2024 10:23	Belén	Señal	Tranqui	Gratis	Nadie	Minutos	2025-prueba=No; impacto/sostenibilidad=0: Se mantiene solo; pilar/dispositivos=3: Aporta a que haya suficientes dispositivos para compartir con restricción mínima  (3 computadores min); pilar/electricidad=No consigues electricidad; pilar/espacio=0: No aporta a tener un espacio público; pilar/personas=0: No aporta a reunir personas; pilar/senal=3: Aporta señal permanente (Antena comercial instalada); recursos/dinero=0: Sin dinero; recursos/personas=1: Una persona; recursos/tiempo=0: Minutos
solv-write-invitation	¿Cómo escribir una buena invitación?	es	como-escribir-una-buena-invitacion-solutions-db	2024-10-25	personas	25 de octubre de 2024 13:36	Manuela	Personas	Fácil	>$ 100 COP	2-3 personas	Horas	2025-prueba=No
