nombre git	nombre	name	tipo	autor	tags	ayudantes	costo	dificultad	tarda	notas de forma	notas de contenido
solv-fish-game	¿Cómo usar el juego para aprender a cuidar equipos en comunidad? 	How to use the game to learn how to take care of equipment in community?	Solución	Mateo	Dispositivos, Personas	Más de 3 ayudantes	Gratis	Media	Horas		
solv-funding-community-internet	Haz una colecta para pagar internet comunitario 	Look for funding to pay for community internet	Solución	Sanjay	Personas, Señal	Más de 3 ayudantes	Gasto mensual	Complejo	Horas		
solv-improve-signal-can	¿Cómo mejorar mi señal con una lata? 	How to improve my signal with a can?	Solución	Mateo	Dispositivos, Señal	Sin ayudantes	Gratis	Media	Horas	improvewithcan > improve-signal-can	
solv-improve-signal-router	¿Cómo mejorar la señal de tu router? 	How to improve your router signal?	Solución	Manuela	Señal	2-3 ayudantes	Gratis	Media	Horas	improverouter > improve-signal-router	
solv-install-3G-antenna	¿Cómo instalar mi antena 3/4G? 	How to install my 3/4G antenna?	Solución	Sanjay	Señal	2-3 ayudantes	Gasto mensual	Media	Horas	Agregué “-”	
solv-internet-quality-diagnosis	¿Cómo saber qué tan buena es tu conexión a Internet? 	How do you know how good your Internet connection is?	Solución	Manuela	Señal	1 ayudante	Gratis	Fácil	Minutos	Agregué “-”	
solv-internet-speedtest	¿Cómo probar la velocidad de tu conexión a Internet? 	How to test the speed of your Internet connection?	Solución	Belén	Señal	Sin ayudantes	Gratis	Fácil	Minutos	speedtest > internet-speedtest	
solv-jangala-internet-box	Big Box de Jangala: Gestiona un potente router de internet inalámbrico para comunidades en exclusión digital 	Jangala's Big Box: Manages a powerful wireless internet router for digitally excluded communities	Solución	Sanjay	Dispositivos, Señal	Más de 3 ayudantes	Gratis	Media	Horas		
solv-know-wifi-passwords	¿Cómo saber las contraseñas WiFi de mi celular? 	How to know the WiFi passwords of my cell phone?	Solución	Belén	Señal	Sin ayudantes	Gratis	Complejo	Minutos	Agregué “-”	
solv-need-3Gantenna	¿Necesito comprar una antena 3G/4G? Cómo tomar la decisión 	Do I need to buy a 3G/4G antenna? How to make the decision	Solución	Sanjay	Señal	Sin ayudantes	Gasto mensual	Media	Horas	need-3g-antenna > need-3Gantenna	
solv-pocket-wikipedia	La Wikipedia de bolsillo en tu RaspberryPi 	A pocket Wikipedia in your RaspberryPi	Solución	Nicolás	Dispositivos	Sin ayudantes	Gratis	Fácil	Horas	no puedo encontrar a qué solución pertenecen las imágenes de uno de los assets - creo que pueden haberse generado dos carpetas de imágenes pero son la misma solución	
solv-purchase-temp-satellite	Cómo comprar una conexión temporal a internet satelital  	How to purchase a temporary satellite Internet connection 	Solución	Belén	Señal	Sin ayudantes	Gratis	Fácil	Minutos		
solv-raspberrypi-pocket-internet	Raspberry Pi: Una pequeña Internet de bolsillo 	Raspberry Pi: A small pocket-sized Internet	Solución	Gabriel	Dispositivos	2-3 ayudantes	> USD 50	Complejo	Horas	Agregué “-”	
solv-share-computers	¿Cómo compartir los computadores disponibles? 	How to share available computers?	Solución	Sanjay	Dispositivos, Personas	2-3 ayudantes	Gratis	Fácil	Horas	Agregué “-”	
solv-share-internet-cellphone	¿Cómo compartir Internet desde mi celular? 	How to share Internet from my cell phone?	Solución	Nicolás	Dispositivos, Personas, Señal	2-3 ayudantes	USD 25 - 50	Media	Días	share-fromcellphone > share-internet-cellphone	
solv-share-internet-wirelessly	¿Quieres compartir tu internet sin cables? Configura tu Raspberry Pi  	Do you want to share your internet wirelessly? Configure your Raspberry Pi 	Solución	Gabriel	Dispositivos, Señal	Sin ayudantes	< USD 25	Media	Minutos	raspberrypi-configure > share-internet-wirelessly	
solv-spread-message	Difunde tu mensaje  	Spread your message 	Solución	Manuela	Personas	2-3 ayudantes	< USD 25	Media	Días		
solv-type-internet-signal	¿Cómo saber qué tipo de señal de Internet tienes? 	How to know what kind of Internet signal you have?	Solución	Belén	Señal	Sin ayudantes	Gratis	Media	Minutos		
solv-write-invitation	¿Cómo escribir una buena invitación? 	How to write a good invitation	Solución	Manuela	Personas	2-3 ayudantes	< USD 25	Fácil	Horas		
